,Taxon,Patient,Tissue,Stool
0,Firmicutes,1,632,305
1,Firmicutes,2,136,4182
2,Firmicutes,3,1174,703
3,Firmicutes,4,408,3946
4,Firmicutes,5,831,8605
5,Firmicutes,6,693,50
6,Firmicutes,7,718,717
7,Firmicutes,8,173,33
8,Firmicutes,9,228,80
9,Firmicutes,10,162,3196
10,Firmicutes,11,372,32
11,Firmicutes,12,4255,4361
12,Firmicutes,13,107,1667
13,Firmicutes,14,96,223
14,Firmicutes,15,281,2377
15,Proteobacteria,1,1638,3886
16,Proteobacteria,2,2469,1821
17,Proteobacteria,3,839,661
18,Proteobacteria,4,4414,18
19,Proteobacteria,5,12044,83
20,Proteobacteria,6,2310,12
21,Proteobacteria,7,3053,547
22,Proteobacteria,8,395,2174
23,Proteobacteria,9,2651,767
24,Proteobacteria,10,1195,76
25,Proteobacteria,11,6857,795
26,Proteobacteria,12,483,666
27,Proteobacteria,13,2950,3994
28,Proteobacteria,14,1541,816
29,Proteobacteria,15,1307,53
30,Actinobacteria,1,569,648
31,Actinobacteria,2,1590,4
32,Actinobacteria,3,25,2
33,Actinobacteria,4,259,300
34,Actinobacteria,5,568,7
35,Actinobacteria,6,1102,9
36,Actinobacteria,7,678,377
37,Actinobacteria,8,260,58
38,Actinobacteria,9,424,233
39,Actinobacteria,10,548,21
40,Actinobacteria,11,201,83
41,Actinobacteria,12,42,75
42,Actinobacteria,13,109,59
43,Actinobacteria,14,51,183
44,Actinobacteria,15,310,204
45,Bacteroidetes,1,115,380
46,Bacteroidetes,2,67,0
47,Bacteroidetes,3,0,0
48,Bacteroidetes,4,85,5
49,Bacteroidetes,5,143,7
50,Bacteroidetes,6,678,2
51,Bacteroidetes,7,4829,209
52,Bacteroidetes,8,74,651
53,Bacteroidetes,9,169,254
54,Bacteroidetes,10,106,10
55,Bacteroidetes,11,73,381
56,Bacteroidetes,12,30,359
57,Bacteroidetes,13,51,51
58,Bacteroidetes,14,2473,2314
59,Bacteroidetes,15,102,33
60,Other,1,114,277
61,Other,2,195,18
62,Other,3,42,2
63,Other,4,316,43
64,Other,5,202,40
65,Other,6,116,0
66,Other,7,527,12
67,Other,8,357,11
68,Other,9,106,11
69,Other,10,67,14
70,Other,11,203,6
71,Other,12,392,6
72,Other,13,28,25
73,Other,14,12,22
74,Other,15,305,32
